Date : 2025-08-26 21:29:27
Directory : c:\Users\snltty\Desktop\linker\src\linker.web
Total : 197 files,  24819 codes, 44 comments, 1058 blanks, all 25921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |        108 |     11,958 |         11 |        732 |     12,701 |
| JSON               |          2 |     10,030 |          0 |          2 |     10,032 |
| JavaScript         |         40 |      2,333 |         23 |        206 |      2,562 |
| PostCSS            |          1 |        394 |          9 |        109 |        512 |
| XML                |         43 |         47 |          0 |          0 |         47 |
| HTML               |          1 |         23 |          1 |          3 |         27 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
| Markdown           |          1 |         15 |          0 |          5 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        197 |     24,819 |         44 |      1,058 |     25,921 |
| . (Files)                                                                                         |          6 |     10,079 |          0 |         10 |     10,089 |
| public                                                                                            |         29 |         51 |          1 |          3 |         55 |
| src                                                                                               |        162 |     14,689 |         43 |      1,045 |     15,777 |
| src (Files)                                                                                       |          3 |        143 |          3 |         18 |        164 |
| src\apis                                                                                          |         20 |        591 |         19 |         56 |        666 |
| src\assets                                                                                        |         16 |        413 |          9 |        109 |        531 |
| src\lang                                                                                          |          4 |        881 |          0 |         71 |        952 |
| src\router                                                                                        |          1 |         61 |          0 |          4 |         65 |
| src\views                                                                                         |        118 |     12,600 |         12 |        787 |     13,399 |
| src\views (Files)                                                                                 |          3 |        240 |          0 |         22 |        262 |
| src\views\components                                                                              |         89 |     10,163 |          5 |        599 |     10,767 |
| src\views\components\accesss                                                                      |          4 |        230 |          0 |         16 |        246 |
| src\views\components\action                                                                       |          1 |         72 |          0 |          1 |         73 |
| src\views\components\cdkey                                                                        |          6 |        796 |          0 |         29 |        825 |
| src\views\components\connection                                                                   |          3 |        500 |          0 |         38 |        538 |
| src\views\components\device                                                                       |          4 |        321 |          1 |         23 |        345 |
| src\views\components\firewall                                                                     |          2 |        500 |          0 |         26 |        526 |
| src\views\components\flow                                                                         |         10 |      1,220 |          0 |        100 |      1,320 |
| src\views\components\forward                                                                      |          8 |      1,175 |          0 |         53 |      1,228 |
| src\views\components\groups                                                                       |          2 |        241 |          3 |          8 |        252 |
| src\views\components\oper                                                                         |          8 |        466 |          0 |         41 |        507 |
| src\views\components\plan                                                                         |          3 |        435 |          0 |         21 |        456 |
| src\views\components\relay                                                                        |          3 |        419 |          0 |         14 |        433 |
| src\views\components\socks5                                                                       |          5 |        461 |          0 |         27 |        488 |
| src\views\components\status                                                                       |          6 |        621 |          1 |         42 |        664 |
| src\views\components\status (Files)                                                               |          3 |        387 |          1 |         24 |        412 |
| src\views\components\status\server                                                                |          3 |        234 |          0 |         18 |        252 |
| src\views\components\stopwatch                                                                    |          1 |         73 |          0 |          6 |         79 |
| src\views\components\sync                                                                         |          2 |        146 |          0 |          7 |        153 |
| src\views\components\transport                                                                    |          1 |         93 |          0 |          3 |         96 |
| src\views\components\tunnel                                                                       |          3 |        345 |          0 |         23 |        368 |
| src\views\components\tuntap                                                                       |          8 |        951 |          0 |         59 |      1,010 |
| src\views\components\updater                                                                      |          4 |        345 |          0 |         26 |        371 |
| src\views\components\wakeup                                                                       |          2 |        426 |          0 |         15 |        441 |
| src\views\components\wlist                                                                        |          3 |        327 |          0 |         21 |        348 |
| src\views\layout                                                                                  |         26 |      2,197 |          7 |        166 |      2,370 |
| src\views\layout\full                                                                             |         23 |      1,976 |          7 |        144 |      2,127 |
| src\views\layout\full (Files)                                                                     |          1 |         86 |          0 |          4 |         90 |
